get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get_date_range_employees,get_hierarchy_up,get_hierarchy_down
Returns Data,Returns Number,Returns Employees,Returns Salary,Returns Number, Return Employees,Returns Date,Returns Number,Returns Employees,Returns Employees ,Returns Employees 
"User wants specific information about an employee (eg. State, Gender, Department, Position, etc)","User wants an average, total, or percentage of employees that meet certain criteria",User wants a list of employees who meet certain criteria,User wants the salary of a specific employee,"User wants an average, total, or percentage specfically related to salary",User wants a list of employees who meet certain criteria that includes salary,"User wants the birth date, hiring date, or firing date of an employee","(Average, Total, Percentage) Like Get_Aggregate but filtered by Date(Born, Hired, Fired)","Like Get_Employees but filtered by Date(Born, Hired, Fired)",Up hierarchy employees for all names found,Down hierarchy employees for all names found
what is {Phylicia Gosciminski|name}s org role,{percent|function} employees {below|comparator} the {42|age} age,{female|sex} employees,Amount that {Julia|name} gets {paid|money},"among all of the employees that found their job from an {internet search|employee_source}, what is the {average|function} {salary|money}?",Which {Sr. DBA|position} {earns|money} the {most|extreme}?,What year was {Lily DiNocco|name} {let go|employment_action} of?,{percent|function} of employees {born|dob} in the year of {2014|sys_time},I want {male|sex} {born|dob} in the {1930s|time_interval},is {Charles Bozzi|name} the {mentor|manager} for {Brannon Miller|name},can i have the names of employees who {report to|manager} {Michael|name}
What position is {ivan|name} in?,{count|function} of workers are {less than|comparator} {35|age} years old?,employees {hispanic|racedesc}?,{joanne handschiegl|name} {each month|time_recur} {earnings|money},{sum|function} {pay|money} for {female|sex}?,Which employee(s) have {lowest|extreme} {income|money}?,Has {Sarah Warfield|name} been working here for {3.2 years|sys_duration}?,{1974|sys_time} {born|dob} employees {percent|function},Which employees did we {get rid of|employment_action} {last|date_compare} fall?,is {Peter Monroe|name} {managing|manager} {Amy Dunn|name} or is it the other way around?,which employees is {Ivan singh|name} the {manager|manager} for
Why did {Megan|name} get {fired|employment_action}?,{How many|function} employees are {C-levels|position}?,get me the {youngest|extreme} {five|sys_number} {percent|function} of employees,{Mia|name} {earns|money} what amount {each day|time_recur},give me the {mean|function} {salary|money} for {males|sex},give me the {earners|money} for all of the employees that are {eligible noncitizen|citizendesc},What was the exact date when {desiree|name} was {hired|employment_action} at our company?,What {percentage|function} of employees were {born|dob} {before|date_compare} {1992|sys_time}?,{forties|time_interval} {born|dob} employees with {two or more races|racedesc},who is {helen billis|name}s {managing|manager} {supervisor|manager}?,Who are those employees that are {under|comparator} and {work for|manager} {April Evensen|name}?
Which department is {adrienne homberger|name} in?,Gimme the {percent|function} of {50|age} year olds at this company?,give me a list of {separated employees|maritaldesc},What does {mia|name}'s {paycheck|money} look like?,what is the {highest|extreme} {amount|money} that a {network engineer|position} is {earning|money},give me the {earnings|money} for all of the employees that have a {us citizenship|citizendesc},How long has Mr.{Knapp|name} worked here?,{1945|sys_time} {born|dob} employees {percent|function},Which are the employees such that in {2005|sys_time} {joined|employment_action} the organization,who is the {manager|manager} assigned to {luisa monterro|name},I want to know if {Amy Dunn|name} is a {manger|manager}
is {abdellah veera|name} a {cio|position} or not?,{How many|function} people are {performing badly|performance_score}?,employees that live in {california|state},{webster|name} is {earning|money} what amount {on a monthly basis|time_recur},What is the {total|function} {earnings|money} of employees {hired|employment_action} {last month|sys_time}?,what are {network engineers|position} {making|money} at this company,Has {Nicole|name} been working here for {4 years|sys_duration}?,What {percent|function} of employees were {hired|employment_action} {post|date_compare} {2008|sys_time}?,i want the employees that have been {hired |employment_action} in the {last|date_compare} {two years|sys_duration} working in {CA|state},I want to know if {Sam Athwal|name} {works for|manager} someone,{Jenna Dietrich|name} is the {supervisor|manager} for which of our employees
Is {Mohammed Latif|name} a citizen of the us?,{cumulative|function} {count|function} of employees that {are too early to review|performance_score} or {need improvement|performance_score}?,Which employees have been {terminated|employment_action}?,"Does {54,000|sys_number} exceed what {jessica|name}'s {earnings|money} {daily|time_recur}?",what are {women|sex} {making|money} on {average|function}?,all the {earnings|money} of {female|sex} in the company,What was the date when {ivan rogers|name} was {hired|employment_action},What {percentage|function} of employees have been on the team for {more than|comparator} {2 years|sys_duration}?,Give me the employees that have a {join date|employment_action} within {7 years|sys_duration},who is {Thelma Petrowsky|name}'s {managing|manager} authority?,Which are all of the employees who are having {Murray|name} as the name of their {manager|manager}?
Where does {ivan rogers|name} live?,{average|function} {age of|age} the employees that are considered minorities?,Who {has worked here|employment_action} based on a {monster.com|employee_source}?,{ivan|name} {Salary|money} {Yearly|time_recur},"of all the {sales manager|position}s, what is the {max|extreme} {paycheck|money} in {dollars|money}",who {makes|money} the {minimum|extreme} {income|money} in {sales|department} department,"When {Sophia Theamstern|name} was {hired|employment_action} to work at the company, what was the date?",can you please tell me what {fraction|function} of people have been doing {work here for|employment_action} {more than|comparator} {three years|sys_duration} but {less than|comparator} {five|sys_number}?,Fetch me a list of workers that have their {birthdays|dob} in the {1970's|time_interval},does {Dianna Blount|name} {report|manager} to {Patrick Moran|name},Tell me which employees have {Patrick Moran|name} as their {manager|manager}
I want {sarah warfield|name}'s state,What's the {summed|function} {num of|function} {43|age} yr old employees?,give me a list of employees that are based in {NH|state},What does {Rose Ivey|name} get for {income|money}?,get me the {average|function} amount that the {sales|department} department {pays|money} current workers,Get me the {lowest|extreme} {six|sys_number} {earners|money} in the {software engineering|department} department,Fetch me {Francesco Barone|name}'s {Bday|dob},What {pct|function} of our staff have a {bday|dob} in {1902|sys_time},get me {senior database admins|position} {born|dob} {this year|sys_time},get me a list of all of the employees who {supervise|manager} {Lori Roby|name} if there are any,Who are those employees that right now have {Catherine Ybarra|name} as their {manager|manager} they are {working under|manager}
