get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get date_range_employees,get_hierarchy
Returns Data,Returns Number,Returns Employees,Returns Salary,Returns Number, Return Employees,Returns Date,Returns Number,Returns Employees,Returns Employees 
Returns a column information about a specific employee,"Average, total, percentage of a column",Returns a list of employees that meets a column criteria,Returns the salary of a specific employee.,"Average, total, percentage specifically related to salary","(Returns Employee Name and Salary, Like Get_Employees but filtered by salary amount)","Like Get_Info but only for born, hired, fired questions","(Average, Total, Percentage) Like Get_Aggregate but filtered by Date(Born, Hired, Fired)","Like Get_Employees but filtered by Date(Born, Hired, Fired)",(up and down hierarchy employees for all names found)
What is {nan|name}'s race?,What is the {total|function} {number of|function} {us citizens|citizendesc}?,Give me employees who are {single|maritaldesc},What is {Mia|name}'s {pay|money}?,What is the {median|function} {pay|money} of {sales engineers|position} in the {Texas|state}?,Who makes the {most|extreme} {money|money}?,What is the {date of hiring|employment_action} for {Mia|name},What {percentage|function} of employees were {hired|employment_action} {more than|comparator} {3 years ago|sys_time}?,Give me a list of people {hired|employment_action} {this year|date_compare}.,Who is {Mia|name}'s {manager|manager}? 
Is {Michael|name} {married|maritaldesc}?,What {percent|function} of employees {exceeded expectations|performance_score}?,All employees from {MA|state},Tell me who earned the {least|extreme} that was {hired|employment_action} this {year|sys_duration}?,what {percentage|function} of employees {make|money} {25|sys_number} {rate|money}?,how much {money|money} does {Mia|name} {make|money}?,When did {Amy|name} {join|employment_action} the company?,What {percent|function} of employees were {hired|employment_action} {post|date_compare} {2008|sys_time}?,Tell me about employees who {started|employment_action} in Spring {2019|sys_time},Which employees have {Julia|name} as their {manager|manager}?
What is {Nan|name}'s official position?,What is the {percentage|function} of new grads in {engineering|department},Which employees have been recently {terminated|employment_action}?,What is the {pay rate|money} of {Julia|name}?,What is the {average|function} {pay rate|money}?,Which employee(s) have {lowest|extreme} {income|money}?,How long has {Ivan|name} been with the company?,What {percentage|function} of employees were {born|dob} {before|date_compare} {1992|sys_time}?,Which employees were not yet {born|dob} when {9/11|sys_time} happened?,What is the name of {Julia|name}'s {manager|manager}?
did {Nan|name} hear about us through {Glassdoor|employee_source}?,What is the {average|function} {age|age}?,Which employees are not {US citizens|citizendesc}?,What is {Nan|name}'s {pay rate|money}?,What is the {average|function} {pay|money} of new grad hires?,Tell me who all are {making|money} {more than|comparator} {50k|sys_amount-of-money},When was {Nan|name} {fired|employment_action}?,What {percent|function} of all our employees were {hired|employment_action} {this year|sys_time}?,list the employees who {joined|employment_action} {last|date_compare} Monday,Who is {Michael|name}'s {manager|manager}?
give me {Nan|name}'s race please,What {percent|function} of employees are managers?,Which employees were {let go|employment_action} for {failure to complete compliance training|reason_for_termination}?,How much does {Michael|name} {make|money}?,Calculate the {average|function} {pay rate|money} at Cisco?,Which {software engineers|position} are {paid|money} {less than|comparator} ${90k|sys_amount-of-money}?,How long was {Mia|name} working for?,What {percentage|function} of employees were {born|dob} {after|date_compare} {2010|sys_time}?,Which employess were {hired|employment_action} in the {last|date_compare} {five years|sys_duration}?,Who is {John Reeder|name}'s {manager|manager}?
What is {Mia|name}'s employment status?,What's the {average|function} {age of|age} employees?,{managers|position},Is {Mia|name} being {paid|money} {$|money}{40k|sys_amount-of-money}?,{average|function} {pay rate|money} for {women|sex}?,who {make|money} a {salary|money} {more than|comparator} {200k|sys_amount-of-money}?,When was {Michael|name}'s {date of hire|employment_action}?,{How many|function} employees were {hired|employment_action} {last year|sys_time}?,"Which employees were {hired|employment_action} {after|date_compare} {Jan 1, 2019|sys_time}?",Who is {Mia Brown|name}'s {manager|manager}?
Is {Ivan|name} from out of state?,What {percentage|function} of the employees are minorities?,Which employees have been {terminated|employment_action}?,Does {Mia|name} get {$|money}{70k|sys_number} in {pay|money}?,What's the {average|function} {pay rate|money}?,"For employees {hired|employment_action} {between|comparator} {5|sys_number} to {2|sys_number} {years|sys_duration} ago, which employee {earns|money} the {most|extreme}?",What is {Nan|name}'s {date of birth|dob}?,{How many|function} people were based out of {Colarado|state} in the {last|date_compare} {3 years|sys_duration}?,Who worked for Cisco for {less than|comparator} {a year|sys_duration},Who is the {manager|manager} for {Bob|name}
Does {Michael|name} {still work at|employment_status} Cisco? ,What {percentage|function} of employees are {exceeding expectations|performance_score}?,Which employees have been with the company longest?,When we let {Nan|name} go {fired|employment_action} ?,What is the {average|function} {pay rate|money} for {executives|position}?,"For employees {hired|employment_action} {between|comparator} {3|sys_number} to {6|sys_number} {years|sys_duration} ago, which employee {earns|money} the {least|extreme}?",What year was {Mia|name} {hired|employment_action}?,What {percentage|function} of employees have been on the team for {more than|comparator} {2 years|sys_duration}?,Which employees have been {hired|employment_action} {this year|date_compare}?,What is {Mia|name}'s {manager|manager}'s name?
